"","support","confidence","lift","count","lhs","rhs"
"1374",0.142168674698795,0.567307692307692,1.23263189689891,59,"{CS.Requires.Knowledge.In.Computers=Yes,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"416",0.163855421686747,0.320754716981132,1.23252969951083,68,"{Uses.Computer.At.Home=Yes,
Uses.Computer.At.Friends.House=No} ","{Would.Enroll.In.CS=No}"
"878",0.173493975903614,0.344497607655502,1.23246988945719,72,"{Uses.Computer.At.Work=No,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"867",0.149397590361446,0.344444444444444,1.23227969348659,62,"{Has.Used.Games=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"817",0.15421686746988,0.344086021505376,1.23099740452354,64,"{Uses.Computer.At.Library=No,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"735",0.130120481927711,0.343949044585987,1.23050735778608,54,"{Uses.Computer.At.Relatives.House=Yes,
CS.Only.Teaches.To.Use.Software=No} ","{Would.Enroll.In.CS=Yes}"
"881",0.185542168674699,0.34375,1.22979525862069,77,"{Has.Used.Internet=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"157",0.103614457831325,0.565789473684211,1.229333149628,43,"{Has.Used.Games=Yes,
CS.Requires.Knowledge.In.Computers=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"63",0.166265060240964,0.343283582089552,1.22812660833762,69,"{Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"752",0.166265060240964,0.343283582089552,1.22812660833762,69,"{Year=2019,
Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"656",0.11566265060241,0.342857142857143,1.22660098522167,48,"{CS.Provides.Good.Wages=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"298",0.159036144578313,0.318840579710145,1.22517444981213,66,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=No}"
"1257",0.118072289156627,0.563218390804598,1.22374676536077,49,"{CS.Work.Has.Long.Hours=No,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"1369",0.118072289156627,0.563218390804598,1.22374676536077,49,"{Field.Of.Interest=Biology-Health Sciences,
CS.Requires.Knowledge.In.Computers=Yes} ","{Would.Enroll.In.CS=Maybe}"
"738",0.132530120481928,0.341614906832298,1.22215677875348,55,"{Uses.Computer.At.Relatives.House=Yes,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"22",0.163855421686747,0.317757009345794,1.22101073035652,68,"{Uses.Computer.At.Relatives.House=No} ","{Would.Enroll.In.CS=No}"
"299",0.163855421686747,0.317757009345794,1.22101073035652,68,"{Year=2019,
Uses.Computer.At.Relatives.House=No} ","{Would.Enroll.In.CS=No}"
"412",0.159036144578313,0.317307692307692,1.21928418803419,66,"{Uses.Computer.At.Friends.House=No,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=No}"
"408",0.142168674698795,0.317204301075269,1.21888689765034,59,"{Uses.Computer.At.Friends.House=No,
CS.Only.Teaches.To.Use.Software=No} ","{Would.Enroll.In.CS=No}"
"632",0.113253012048193,0.340579710144928,1.21845327336332,47,"{Uses.Computer.At.Friends.House=Yes,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Yes}"
"660",0.11566265060241,0.340425531914894,1.21790168745415,48,"{Has.Used.Database=No,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"285",0.12289156626506,0.316770186335404,1.2172187715666,51,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=No}"
"156",0.101204819277108,0.56,1.21675392670157,42,"{CS.Only.Teaches.To.Use.Software=No,
CS.Requires.Knowledge.In.Computers=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"334",0.103614457831325,0.316176470588235,1.21493736383442,43,"{Has.Used.Spreadsheet=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"296",0.146987951807229,0.316062176165803,1.21449817693341,61,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=No}"
"810",0.134939759036145,0.339393939393939,1.21421107628004,56,"{Has.Used.Text.Editor=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"1427",0.228915662650602,0.558823529411765,1.21419772097321,95,"{Has.Used.For.Development=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"1136",0.103614457831325,0.558441558441558,1.21336778404841,43,"{CS.Uses.Little.Math=Maybe,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"295",0.142168674698795,0.315508021390374,1.2123687858982,59,"{Uses.Computer.At.Relatives.House=No,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=No}"
"289",0.127710843373494,0.31547619047619,1.21224647266314,53,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=No}"
"869",0.149397590361446,0.33879781420765,1.21207838703599,62,"{Has.Used.Text.Editor=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"629",0.101204819277108,0.338709677419355,1.21176307007786,42,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Yes}"
"631",0.103614457831325,0.338582677165354,1.21130871572088,43,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Yes}"
"672",0.110843373493976,0.338235294117647,1.21006592292089,46,"{Has.Used.Other.Softwares=No,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"345",0.146987951807229,0.314432989690722,1.20823787705231,61,"{Uses.Computer.At.Home=Yes,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"72",0.195180722891566,0.3375,1.20743534482759,81,"{Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
